,MANDAL,VILLAGE,S.NO,SURVEY NO.,EXTENT (UNIT),NOTIFICATION NUMBER,NOTIFICATION DATE,OTHER REFERENCE
27,THAVANAMPALLE,ARAGONDA,28.0,'1/32A,0.67(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
28,THAVANAMPALLE,ARAGONDA,29.0,'1/33,2.45(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
29,THAVANAMPALLE,ARAGONDA,30.0,'1/3A,0.78(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
30,THAVANAMPALLE,ARAGONDA,31.0,'1/3B,0.78(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
31,THAVANAMPALLE,ARAGONDA,32.0,'1/4,1.9(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
32,THAVANAMPALLE,ARAGONDA,33.0,'1/5,6.55(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
33,THAVANAMPALLE,ARAGONDA,34.0,'1/6,2.29(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
34,THAVANAMPALLE,ARAGONDA,35.0,'1/7,0.44(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
35,THAVANAMPALLE,ARAGONDA,36.0,'1/8,0.89(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
36,THAVANAMPALLE,ARAGONDA,37.0,'1/9,2.28(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
37,THAVANAMPALLE,ARAGONDA,1.0,'2/11,2.18(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
38,THAVANAMPALLE,ARAGONDA,2.0,'2/11A,0.79(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
39,THAVANAMPALLE,ARAGONDA,3.0,'2/12,0.32(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
40,THAVANAMPALLE,ARAGONDA,4.0,'2/18,0.75(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
41,THAVANAMPALLE,ARAGONDA,5.0,'2/1A,0.47(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
42,THAVANAMPALLE,ARAGONDA,6.0,'2/1B,0.41(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
43,THAVANAMPALLE,ARAGONDA,7.0,'2/1E,0.54(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
44,THAVANAMPALLE,ARAGONDA,8.0,'2/1F,0.5(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
45,THAVANAMPALLE,ARAGONDA,9.0,'2/2F,0.2(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
46,THAVANAMPALLE,ARAGONDA,10.0,'2/3,0.67(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
47,THAVANAMPALLE,ARAGONDA,11.0,'2/4A,0.3(A),MEMO.NO.G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
48,THAVANAMPALLE,ARAGONDA,12.0,'2/4B,1.52(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
49,THAVANAMPALLE,ARAGONDA,13.0,'2/6,0.44(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
50,THAVANAMPALLE,ARAGONDA,14.0,'2/7,0.42(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
51,THAVANAMPALLE,ARAGONDA,15.0,'2/8,0.13(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
52,THAVANAMPALLE,ARAGONDA,16.0,'2/9,0.18(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
